dataset,split,clip_id,frame_pkls,pose_dir,first_frame_pkl
PHOENIX,train,10August_2009_Monday_heute-6896,118,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/10August_2009_Monday_heute-6896,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/10August_2009_Monday_heute-6896/images0003.pkl
PHOENIX,train,22December_2010_Wednesday_tagesschau-5064,126,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/22December_2010_Wednesday_tagesschau-5064,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/22December_2010_Wednesday_tagesschau-5064/images0001.pkl
PHOENIX,test,21November_2010_Sunday_tagesschau-5676,143,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/test/21November_2010_Sunday_tagesschau-5676,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/test/21November_2010_Sunday_tagesschau-5676/images0001.pkl
PHOENIX,train,19July_2009_Sunday_tagesschau-1575,139,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/19July_2009_Sunday_tagesschau-1575,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/19July_2009_Sunday_tagesschau-1575/images0001.pkl
PHOENIX,train,01August_2011_Monday_heute-4848,40,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/01August_2011_Monday_heute-4848,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/01August_2011_Monday_heute-4848/images0005.pkl
Neural-Sign-Actors,train,02M-Xcs3X30_4-3-rgb_front,178,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/02M-Xcs3X30_4-3-rgb_front,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/02M-Xcs3X30_4-3-rgb_front/02M-Xcs3X30_4-3-rgb_front_0_3D.pkl
Neural-Sign-Actors,train,-1XUnputrgk_9-5-rgb_front,82,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/-1XUnputrgk_9-5-rgb_front,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/-1XUnputrgk_9-5-rgb_front/-1XUnputrgk_9-5-rgb_front_0_3D.pkl
Neural-Sign-Actors,train,bwvtAII4pG0_31-5-rgb_front,95,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/bwvtAII4pG0_31-5-rgb_front,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/bwvtAII4pG0_31-5-rgb_front/bwvtAII4pG0_31-5-rgb_front_0_3D.pkl
Neural-Sign-Actors,train,Ci8otvMiZJU_18-5-rgb_front,38,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/Ci8otvMiZJU_18-5-rgb_front,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/Ci8otvMiZJU_18-5-rgb_front/Ci8otvMiZJU_18-5-rgb_front_0_3D.pkl
Neural-Sign-Actors,val,f5EGPzGSCJs_4-8-rgb_front,171,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/val_poses/poses/f5EGPzGSCJs_4-8-rgb_front,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/val_poses/poses/f5EGPzGSCJs_4-8-rgb_front/f5EGPzGSCJs_4-8-rgb_front_0_3D.pkl
Neural-Sign-Actors,train,bOzV-cKVz1Q_4-8-rgb_front,234,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/bOzV-cKVz1Q_4-8-rgb_front,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/bOzV-cKVz1Q_4-8-rgb_front/bOzV-cKVz1Q_4-8-rgb_front_0_3D.pkl
Neural-Sign-Actors,train,FWi7va17oUQ_20-9-rgb_front,30,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/FWi7va17oUQ_20-9-rgb_front,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/FWi7va17oUQ_20-9-rgb_front/FWi7va17oUQ_20-9-rgb_front_0_3D.pkl
Neural-Sign-Actors,train,3dO7BI93adU_7-5-rgb_front,126,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/3dO7BI93adU_7-5-rgb_front,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/3dO7BI93adU_7-5-rgb_front/3dO7BI93adU_7-5-rgb_front_0_3D.pkl
Neural-Sign-Actors,train,06S7xXXHWIs_0-5-rgb_front,225,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/06S7xXXHWIs_0-5-rgb_front,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/06S7xXXHWIs_0-5-rgb_front/06S7xXXHWIs_0-5-rgb_front_0_3D.pkl
Neural-Sign-Actors,train,FnLCL8TUVJA_30-8-rgb_front,134,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/FnLCL8TUVJA_30-8-rgb_front,/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/FnLCL8TUVJA_30-8-rgb_front/FnLCL8TUVJA_30-8-rgb_front_0_3D.pkl
