path,type,keys,smplx_root_pose_shape,smplx_root_pose_dtype,smplx_body_pose_shape,smplx_body_pose_dtype,smplx_lhand_pose_shape,smplx_lhand_pose_dtype,smplx_rhand_pose_shape,smplx_rhand_pose_dtype,smplx_jaw_pose_shape,smplx_jaw_pose_dtype,smplx_shape_shape,smplx_shape_dtype,smplx_expr_shape,smplx_expr_dtype,cam_trans_shape,cam_trans_dtype,dataset,split,clip_id,smplx_joint_proj_shape,smplx_joint_proj_dtype,lhand_bbox_shape,lhand_bbox_dtype,rhand_bbox_shape,rhand_bbox_dtype,face_bbox_shape,face_bbox_dtype
/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/04January_2011_Tuesday_tagesschau-1064/images0005.pkl,dict,"smplx_joint_proj, smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans, lhand_bbox, rhand_bbox, face_bbox","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,PHOENIX,train,04January_2011_Tuesday_tagesschau-1064,"(137, 2)",float32,"(4,)",float32,"(4,)",float32,"(4,)",float32
/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/15July_2011_Friday_tagesschau-8723/images0003.pkl,dict,"smplx_joint_proj, smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans, lhand_bbox, rhand_bbox, face_bbox","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,PHOENIX,train,15July_2011_Friday_tagesschau-8723,"(137, 2)",float32,"(4,)",float32,"(4,)",float32,"(4,)",float32
/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/19January_2011_Wednesday_heute-2689/images0001.pkl,dict,"smplx_joint_proj, smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans, lhand_bbox, rhand_bbox, face_bbox","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,PHOENIX,train,19January_2011_Wednesday_heute-2689,"(137, 2)",float32,"(4,)",float32,"(4,)",float32,"(4,)",float32
/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/10August_2009_Monday_heute-6896/images0003.pkl,dict,"smplx_joint_proj, smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans, lhand_bbox, rhand_bbox, face_bbox","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,PHOENIX,train,10August_2009_Monday_heute-6896,"(137, 2)",float32,"(4,)",float32,"(4,)",float32,"(4,)",float32
/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/22December_2010_Wednesday_tagesschau-5064/images0001.pkl,dict,"smplx_joint_proj, smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans, lhand_bbox, rhand_bbox, face_bbox","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,PHOENIX,train,22December_2010_Wednesday_tagesschau-5064,"(137, 2)",float32,"(4,)",float32,"(4,)",float32,"(4,)",float32
/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/test/21November_2010_Sunday_tagesschau-5676/images0001.pkl,dict,"smplx_joint_proj, smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans, lhand_bbox, rhand_bbox, face_bbox","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,PHOENIX,test,21November_2010_Sunday_tagesschau-5676,"(137, 2)",float32,"(4,)",float32,"(4,)",float32,"(4,)",float32
/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/19July_2009_Sunday_tagesschau-1575/images0001.pkl,dict,"smplx_joint_proj, smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans, lhand_bbox, rhand_bbox, face_bbox","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,PHOENIX,train,19July_2009_Sunday_tagesschau-1575,"(137, 2)",float32,"(4,)",float32,"(4,)",float32,"(4,)",float32
/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/01August_2011_Monday_heute-4848/images0005.pkl,dict,"smplx_joint_proj, smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans, lhand_bbox, rhand_bbox, face_bbox","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,PHOENIX,train,01August_2011_Monday_heute-4848,"(137, 2)",float32,"(4,)",float32,"(4,)",float32,"(4,)",float32
/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/02M-Xcs3X30_4-3-rgb_front/02M-Xcs3X30_4-3-rgb_front_0_3D.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,Neural-Sign-Actors,train,02M-Xcs3X30_4-3-rgb_front,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/-1XUnputrgk_9-5-rgb_front/-1XUnputrgk_9-5-rgb_front_0_3D.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,Neural-Sign-Actors,train,-1XUnputrgk_9-5-rgb_front,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/bwvtAII4pG0_31-5-rgb_front/bwvtAII4pG0_31-5-rgb_front_0_3D.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,Neural-Sign-Actors,train,bwvtAII4pG0_31-5-rgb_front,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/Ci8otvMiZJU_18-5-rgb_front/Ci8otvMiZJU_18-5-rgb_front_0_3D.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,Neural-Sign-Actors,train,Ci8otvMiZJU_18-5-rgb_front,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/val_poses/poses/f5EGPzGSCJs_4-8-rgb_front/f5EGPzGSCJs_4-8-rgb_front_0_3D.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,Neural-Sign-Actors,val,f5EGPzGSCJs_4-8-rgb_front,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/bOzV-cKVz1Q_4-8-rgb_front/bOzV-cKVz1Q_4-8-rgb_front_0_3D.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,Neural-Sign-Actors,train,bOzV-cKVz1Q_4-8-rgb_front,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/FWi7va17oUQ_20-9-rgb_front/FWi7va17oUQ_20-9-rgb_front_0_3D.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,Neural-Sign-Actors,train,FWi7va17oUQ_20-9-rgb_front,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/3dO7BI93adU_7-5-rgb_front/3dO7BI93adU_7-5-rgb_front_0_3D.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,Neural-Sign-Actors,train,3dO7BI93adU_7-5-rgb_front,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/06S7xXXHWIs_0-5-rgb_front/06S7xXXHWIs_0-5-rgb_front_0_3D.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,Neural-Sign-Actors,train,06S7xXXHWIs_0-5-rgb_front,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/Neural-Sign-Actors/train_poses/poses/FnLCL8TUVJA_30-8-rgb_front/FnLCL8TUVJA_30-8-rgb_front_0_3D.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,Neural-Sign-Actors,train,FnLCL8TUVJA_30-8-rgb_front,,,,,,,,
